translit_nikud,hebrew_meaning,item_type,notes
א(ל)סַّלַאם עַלֵיכֹּם,השלום עליכם,phrase,דו-שיח מפגש 3
וַעַלֵיכֹּם א(ל)סַّלַאם,עליכם השלום,phrase,דו-שיח
שוּ אַחְ'בַּארַכּ יַא עַמִّי?,מה שלומך דודי?,phrase,דו-שיח
וַאלְלַה כֻּלّ שִי תַמַאם! שוּ אַחְ'בַּארַכּ אִנְתֵ?,באמת הכל מצוין! מה שלומך אתה?,phrase,דו-שיח
אֵלְחַמְדֵלִּלַّה כֻּלّ שִי עַלַא מַא יֻרַאם,תודה לאל הכל מעולה,phrase,דו-שיח
עַמّוֹ? אִנְתֵ סַאכֵּן הוֹן?,דוד? אתה גר פה?,phrase,דו-שיח
אַה וַאלְלַה הַאדִי דַאר אַבּוּי עַ (א)לְיַמִין תְפַצַّ'ל אֵיש בִּדַּכּ?,האמת כן זה בית אבי מצד ימין בבקשה מה אתה צריך?,phrase,דו-שיח
מַעְלֵש יַא עַמِّי פִי עֵנְדְכֹּם הוֹן שֻעֻ'ל בִּ(א)לְחַארַה?,אם אפשר דוד יש אצלכם פה עבודה בשכונה?,phrase,דו-שיח
וַאלְלַה הוֹן בִּ(א)לְחַארַה מֵשְכִּלֵה מַפֵש שֻעֻ'ל,האמת פה בשכונה בעיה אין עבודה,phrase,דו-שיח
טַבּ וֵין פִי?,טוב איפה יש?,phrase,דו-שיח
אִנְתֵ שַאיֵף (א)לְמַחַ'אזֵן הֵנַאכּ?,אתה רואה את המחסנים שם?,phrase,דו-שיח
וֵין? עַ (אל)גַ'בַּל גַ'מְבּ (אל)גַ'אמֵע?,איפה? על ההר ליד המסגד?,phrase,דו-שיח
אַה וַאלְלַה! הֵנַאכּ פִי שַרַכַּאת כְּבַּאר אַכִּיד פִי שֻעֻ'ל עֵנְדְהֹם,כן שם יש חברות גדולות בטוח יש עבודה אצלם,phrase,דו-שיח
פִי כַּמַאן מַחַלַّאת תַאנְיֵה? פִיהַא פֻרַצ לַ(א)לְעַמַל?,יש גם מקומות אחרים? יש בהם הזדמנויות לעבודה?,phrase,דו-שיח
לַא וַאלְלַה! פִי בַּסّ הֵנַאכּ,האמת לא! יש רק שם,phrase,דו-שיח
חַיַّאכּ אַלְלַה,תודה רבה (יחייך אלוהים),phrase,דו-שיח
אַלְלַה יְחַיִّיכּ,תודה לך (אלוהים יחייך),phrase,דו-שיח
