item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
,מַחְזַן,מחסן,,word,
,עַלַא לוֹן,בצבע,,word,מילולית: על צבע
,וַלַדֵין,שני ילדים,,word,צורת זוגי
,וַאלֶד,הורה,,word,רבים: וַאלְדֵין (הורים)
,אַהֶל,הורים/אוכלוסיה,,word,אַהְלִי - ההורים שלי/האוכלוסיה שלי
,אַצְפַר,צהוב,,word,נקבה: צַפְרַא (צהובה)
,אַזְרַכּ,כחול,,word,נקבה: זַרְכַּא (כחולה)
,אַחְמַר,אדום,,word,נקבה: חַמְרַא (אדומה)
,שַזַ׳ר,עצים,,word,
,חַשִיש,דשא,,word,
,אֶלְאִיד מַא בִּתְזַקֶּף לַחַאלְהַא,היד לא מוחאת כפיים לבדה,,sentence,פתגם — צריך עבודת צוות
,סַאטֶל / דַאלוּ,דלי,,word,שתי מילים
,הַאדַא זַלַמֶה מַסְטוּל,ההוא בן-אדם מסטול,,sentence,
,מַסְטוּל,מסטול/לא ישר,,word,מקור: סוחב מוט עם שני דליים ולא הולך ישר
,קַארַאז׳,מוסך,,word,
,מִן זַמַאן,ימי קדם/מזמן,,phrase,
,אַנַא לַחַאלִי,אני לבדי,,phrase,
,בַּרְבִּיז׳,צינור,,word,
,מֻדַרִּבֶּה,מאמנת,,word,
,בֵּית אִלְמַי,שירותים (ומקלחת),,phrase,אפשר גם חַמַּאם
,אַנַא שַאיֶף,אני רואה,,sentence,
,שוּ לְחַכִּי,מה הדיבור,,phrase,סלנג
